id,name,functional,reaction_count
b1241,,True,2
b0351,,True,1
s0001,,True,5
b1849,,True,1
b3115,,True,1
b2296,,True,1
b1276,,True,2
b0118,,True,2
b0474,,True,1
b0116,,True,2
b0727,,True,1
b0726,,True,1
b2587,,True,1
b0356,,True,1
b1478,,True,1
b3734,,True,1
b3733,,True,1
b3736,,True,1
b3737,,True,1
b3739,,True,1
b3738,,True,1
b3735,,True,1
b3731,,True,1
b3732,,True,1
b0720,,True,1
b0733,,True,1
b0734,,True,1
b0979,,True,1
b0978,,True,1
b3603,,True,1
b2975,,True,1
b2779,,True,1
b2925,,True,1
b1773,,True,1
b2097,,True,1
b3925,,True,1
b4232,,True,1
b2492,,True,2
b0904,,True,2
b4152,,True,1
b4154,,True,1
b4153,,True,1
b4151,,True,1
b1819,,True,2
b1817,,True,2
b2416,,True,2
b2415,,True,2
b1818,,True,2
b1611,,True,1
b4122,,True,1
b1612,,True,1
b3528,,True,3
b1852,,True,1
b1779,,True,1
b1101,,True,1
b2417,,True,1
b1621,,True,1
b1297,,True,1
b3870,,True,1
b0809,,True,1
b0811,,True,1
b0810,,True,1
b1761,,True,1
b1524,,True,1
b0485,,True,1
b1812,,True,1
b3213,,True,1
b3212,,True,1
b4077,,True,1
b2029,,True,1
b0875,,True,1
b1136,,True,1
b4015,,True,1
b1380,,True,1
b2133,,True,1
b4014,,True,1
b2976,,True,1
b3236,,True,1
b1479,,True,1
b2463,,True,1
b2281,,True,1
b2277,,True,1
b2280,,True,1
b2286,,True,1
b2287,,True,1
b2284,,True,1
b2276,,True,1
b2282,,True,1
b2279,,True,1
b2283,,True,1
b2285,,True,1
b2288,,True,1
b2278,,True,1
b1603,,True,2
b3962,,True,1
b1602,,True,2
b0451,,True,1
b0114,,True,1
b0115,,True,1
b3916,,True,1
b1723,,True,1
b3114,,True,1
b2579,,True,1
b3951,,True,1
b0902,,True,1
b3952,,True,1
b0903,,True,1
b4025,,True,1
b2926,,True,1
b0767,,True,1
b3612,,True,1
b4395,,True,1
b0755,,True,1
b3493,,True,1
b2987,,True,1
b3956,,True,1
b3403,,True,1
b1702,,True,1
b2297,,True,1
b2458,,True,1
b1676,,True,1
b1854,,True,1
b3386,,True,1
b4301,,True,1
b2914,,True,1
b4090,,True,1
b0721,,True,1
b0722,,True,1
b0724,,True,1
b0723,,True,1
b0729,,True,1
b0728,,True,1
b0008,,True,1
b2464,,True,1
b2465,,True,2
b2935,,True,2
b3919,,True,1
