id,name,functional,reaction_count
YHR104W,,True,5
YDR368W,,True,2
YGR282C,,True,1
YOL086C,,True,6
YLR300W,,True,1
YFR055W,,True,1
YGL184C,,True,1
YDR261C,,True,1
YDL168W,,True,7
YOR190W,,True,1
YOL030W,,True,1
YLR343W,,True,1
YNL247W,,True,1
YMR303C,,True,6
YGR155W,,True,1
YGR032W,,True,1
YOL132W,,True,1
YGL256W,,True,6
YBR145W,,True,6
YCR034W,,True,3
YMR215W,,True,1
YMR307W,,True,1
YLR342W,,True,1
YMR306W,,True,1
YBR068C,,True,8
YMR083W,,True,6
YMR318C,,True,4
YBR036C,,True,10
YDR046C,,True,8
YBR069C,,True,8
YMR170C,,True,2
YMR169C,,True,2
YPL061W,,True,2
YLR245C,,True,2
YNR012W,,True,3
YIR029W,,True,1
YHR123W,,True,2
YNL130C,,True,1
YPR159W,,True,1
YGR143W,,True,1
YGR247W,,True,1
YHR043C,,True,1
YHR044C,,True,1
YIR027C,,True,1
YIR028W,,True,1
YJR152W,,True,1
YLR201C,,True,5
YOL096C,,True,5
YGL119W,,True,5
YDR204W,,True,5
YDR503C,,True,2
YDR284C,,True,2
YBR029C,,True,2
YDR487C,,True,1
YNR057C,,True,1
YHR144C,,True,2
YBR249C,,True,1
YBR208C,,True,2
YNR058W,,True,1
YDR035W,,True,2
YML110C,,True,5
YPL274W,,True,1
YGR255C,,True,5
YGL055W,,True,2
YNL003C,,True,1
YOR125C,,True,5
YDR242W,,True,3
YJL221C,,True,2
YMR293C,,True,1
YDR454C,,True,3
YBR265W,,True,1
YML035C,,True,2
YJL070C,,True,1
YJR025C,,True,1
YJR016C,,True,2
YBR284W,,True,1
YDR354W,,True,1
YER175C,,True,2
YER090W,,True,1
YGR087C,,True,7
YFL053W,,True,1
YKL211C,,True,2
YML070W,,True,1
YDR305C,,True,1
YLR044C,,True,7
YML086C,,True,1
YBR149W,,True,1
YPL111W,,True,1
YLR134W,,True,7
YHR018C,,True,1
YOR236W,,True,2
YOL058W,,True,1
YDR380W,,True,4
YDR341C,,True,1
YHR091C,,True,1
YDL080C,,True,2
YNL256W,,True,4
YNL270C,,True,1
YKL216W,,True,3
YHR037W,,True,5
YEL063C,,True,2
YCR053W,,True,2
YLR420W,,True,1
YBR293W,,True,4
YDR127W,,True,5
YDL210W,,True,2
YNR056C,,True,1
YBR034C,,True,1
YDR158W,,True,1
YGL154C,,True,2
YDR321W,,True,1
YLR172C,,True,1
YLR155C,,True,1
YMR009W,,True,1
YBR115C,,True,2
YLR160C,,True,1
YGR019W,,True,1
YLR158C,,True,1
YEL038W,,True,1
YLR157C,,True,1
YGR124W,,True,1
YJL167W,,True,2
YOR374W,,True,5
YML096W,,True,1
YPR145W,,True,1
YER073W,,True,3
YDL100C,,True,1
YHR019C,,True,1
YMR013C,,True,1
YOR348C,,True,4
YCR024C,,True,1
YDR508C,,True,7
YPL028W,,True,2
YJR001W,,True,5
YNL101W,,True,5
YIL160C,,True,17
YKL146W,,True,5
YNR016C,,True,13
YJL130C,,True,3
YMR207C,,True,1
YPR021C,,True,2
YFL017C,,True,1
YER052C,,True,1
YLR027C,,True,6
YEL058W,,True,2
YER069W,,True,2
YKL106W,,True,3
YLL018C,,True,1
YMR062C,,True,2
YPL104W,,True,1
YAL023C,,True,1
YFL055W,,True,3
YJR143C,,True,1
YJL071W,,True,1
YER119C,,True,2
YMR108W,,True,2
YMR226C,,True,2
YPR128C,,True,2
YCL009C,,True,2
YDL093W,,True,1
YDL095W,,True,1
YDR530C,,True,1
YOR126C,,True,3
YCL050C,,True,3
YOR321W,,True,1
YER005W,,True,6
YBL015W,,True,1
YER055C,,True,1
YGR199W,,True,1
YGL008C,,True,1
YGL205W,,True,17
YPR183W,,True,1
YPL036W,,True,1
YDL185W,,True,2
YKL152C,,True,2
YKL182W,,True,22
YBR127C,,True,2
YPL231W,,True,22
YNR043W,,True,1
YPL234C,,True,2
YHR063C,,True,1
YBR026C,,True,12
YLR447C,,True,2
YOR332W,,True,2
YER061C,,True,12
YLR355C,,True,3
YKL080W,,True,2
YKL192C,,True,13
YHR026W,,True,2
YCR036W,,True,2
YMR054W,,True,1
YBR153W,,True,1
YKL055C,,True,12
YGR020C,,True,2
YEL051W,,True,2
YOR221C,,True,12
YPR036W,,True,2
YHR067W,,True,12
YOL066C,,True,1
YEL027W,,True,2
YJR057W,,True,1
YLR304C,,True,2
YBL099W,,True,1
YPR002W,,True,1
YPR020W,,True,1
YLR209C,,True,11
YBR039W,,True,1
YKL016C,,True,1
YBR252W,,True,1
YJL200C,,True,1
YJR121W,,True,1
YOL140W,,True,1
YHR068W,,True,1
YDL004W,,True,1
YEL071W,,True,1
YBR093C,,True,1
YPL078C,,True,1
YAR071W,,True,1
YDL174C,,True,1
YDL178W,,True,1
YKL217W,,True,3
YPL148C,,True,1
YLR295C,,True,1
YLR153C,,True,1
YKR009C,,True,23
YDR298C,,True,1
YHR174W,,True,1
