id,name,compartment,formula,charge,reaction_count
2dr5p_c,2-Deoxy-D-ribose 5-phosphate,c,C5H9O7P,-2.0,1
2hb_c,2 Hydroxybutyrate C4H7O3,c,C4H7O3,-1.0,2
2hb_e,2 Hydroxybutyrate C4H7O3,e,C4H7O3,-1.0,2
2hhxdal_c,2 Hydroxy hexadecanal C16H32O2,c,C16H32O2,0.0,1
2hp6mbq_m,2 Hexaprenyl 6 methoxy 1 4 benzoquinone C37H54O3,m,C37H54O3,0.0,2
2hp6mp_m,2 Hexaprenyl 6 methoxyphenol C37H56O2,m,C37H56O2,0.0,2
2hpmhmbq_m,2 hexaprenyl 3 methyl 5 hydroxy 6 methoxy 1 4 benzoquinone C38H56O4,m,C38H56O4,0.0,2
2hpmmbq_m,2 hexaprenyl 3 methyl 6 methoxy 1 4 benzoquinone C38H56O3,m,C38H56O3,0.0,2
2ippm_c,2-Isopropylmaleate,c,C7H8O4,-2.0,2
2kmb_c,2-keto-4-methylthiobutyrate,c,C5H7O3S,-1.0,2
2mahmp_c,2-Methyl-4-amino-5-hydroxymethylpyrimidine diphosphate,c,C6H8N3O7P2,-3.0,2
2mbac_c,2 methylbutyl acetate C7H14O2,c,C7H14O2,0.0,2
2mbac_e,2 methylbutyl acetate C7H14O2,e,C7H14O2,0.0,2
2mbald_c,2 methylbutyraldehyde C5H10O,c,C5H10O,0.0,5
2mbald_e,2 methylbutyraldehyde C5H10O,e,C5H10O,0.0,2
2mbald_m,2 methylbutyraldehyde C5H10O,m,C5H10O,0.0,2
2mbtoh_c,2 methyl 1 butanol C5H12O,c,C5H12O,0.0,5
2mbtoh_e,2 methyl 1 butanol C5H12O,e,C5H12O,0.0,2
2mbtoh_m,2 methyl 1 butanol C5H12O,m,C5H12O,0.0,2
2mcit_m,2-Methylcitrate,m,C7H7O7,-3.0,2
2mppal_c,2 methylpropanal C4H8O,c,C4H8O,0.0,5
2mppal_e,2 methylpropanal C4H8O,e,C4H8O,0.0,2
2mppal_m,2 methylpropanal C4H8O,m,C4H8O,0.0,2
2obut_c,2-Oxobutanoate,c,C4H5O3,-1.0,5
2obut_m,2-Oxobutanoate,m,C4H5O3,-1.0,4
2oxoadp_c,2 Oxoadipate C6H6O5,c,C6H6O5,-2.0,2
2oxoadp_m,2 Oxoadipate C6H6O5,m,C6H6O5,-2.0,2
2pg_c,D-Glycerate 2-phosphate,c,C3H4O7P,-3.0,2
2phetoh_c,2 phenylethanol C8H10O,c,C8H10O,0.0,5
2phetoh_e,2 phenylethanol C8H10O,e,C8H10O,0.0,2
2phetoh_m,2 phenylethanol C8H10O,m,C8H10O,0.0,2
10fthf_c,10-Formyltetrahydrofolate,c,C20H21N7O7,-2.0,6
34hpl_m,3  4 Hydroxyphenyl lactate C9H9O4,m,C9H9O4,-1.0,2
34hpp_c,3-(4-Hydroxyphenyl)pyruvate,c,C9H7O4,-1.0,6
34hpp_m,3-(4-Hydroxyphenyl)pyruvate,m,C9H7O4,-1.0,3
10fthf_m,10-Formyltetrahydrofolate,m,C20H21N7O7,-2.0,3
4fumacac_c,4 Fumarylacetoacetate C8H6O6,c,C8H6O6,-2.0,2
34hpp_x,3-(4-Hydroxyphenyl)pyruvate,x,C9H7O4,-1.0,2
35ccmp_c,3  5  Cyclic CMP C9H11N3O7P,c,C9H11N3O7P,-1.0,1
4gudbd_c,4 Guanidinobutanamide C5H13N4O,c,C5H13N4O,1.0,1
12dgr_SC_c,1 2 Diacylglycerol  yeast specific C3540H6644O500,c,C3540H6644O500,0.0,19
35cdamp_c,3  5  Cyclic dAMP C10H11N5O5P,c,C10H11N5O5P,-1.0,1
13BDglcn_c,1 3 beta D Glucan C6H10O5,c,C6H10O5,0.0,3
4gudbutn_c,4 Guanidinobutanoate C5H11N3O2,c,C5H11N3O2,0.0,1
35cgmp_c,"3',5'-Cyclic GMP",c,C10H11N5O7P,-1.0,1
4h2oglt_c,4 Hydroxy 2 oxoglutarate C5H4O6,c,C5H4O6,-2.0,3
13BDglcn_e,1 3 beta D Glucan C6H10O5,e,C6H10O5,0.0,2
35cimp_c,3  5  Cyclic IMP C10H10N4O7P,c,C10H10N4O7P,-1.0,1
13dampp_c,1 3 Diaminopropane C3H12N2,c,C3H12N2,2.0,1
13dpg_c,3-Phospho-D-glyceroyl phosphate,c,C3H4O10P2,-4.0,3
4h2oglt_m,4 Hydroxy 2 oxoglutarate C5H4O6,m,C5H4O6,-2.0,2
