id,name,reversibility,lower_bound,upper_bound,metabolite_count,gene_reaction_rule
CITtcp,Citrateisocitrate antiport into peroxisome,True,-999999.0,999999.0,4,
13BGH,Endo 1 3 beta glucan glucohydrase,False,0.0,999999.0,3,YGR282C
13BGHe,Exo 1 3 beta glucan glucohydrase,False,0.0,999999.0,3,YOR190W or YDR261C or YLR300W
13GS,1 3 beta glucan synthase,False,0.0,999999.0,4,((YCR034W and YGR032W) and YLR343W) or ((YCR034W and YGR032W) and YMR215W) or ((YCR034W and YMR306W) and YMR215W) or ((YCR034W and YLR342W) and YOL132W) or ((YCR034W and YMR306W) and YOL132W) or ((YCR034W and YGR032W) and YOL030W) or ((YCR034W and YLR342W) and YOL030W) or ((YCR034W and YMR306W) and YOL030W) or ((YCR034W and YLR342W) and YLR343W) or ((YCR034W and YMR306W) and YLR343W) or ((YCR034W and YGR032W) and YOL132W) or ((YCR034W and YLR342W) and YMR215W) or ((YCR034W and YGR032W) and YMR307W) or ((YCR034W and YLR342W) and YMR307W) or ((YCR034W and YMR306W) and YMR307W)
16GS,1 6 beta glucan synthase,False,0.0,999999.0,4,YPR159W or YGR143W
23CAPPD,ADP ribose 2 3 cyclic phosphodiesterase,False,0.0,999999.0,4,YGR247W
2DDA7Ptm,2 Dehydro 3 deoxy D arabino heptonate7 phohsphate mitochondrial transport via diffusion,True,-999999.0,999999.0,2,
2DHPtm,2 Dehydropantoate mitochondrial transport,True,-999999.0,999999.0,2,
2DOXG6PP,2 deoxyglucose 6 phosphatase,False,0.0,999999.0,4,YHR044C or YHR043C
2HBO,2 HydroxybutyrateNAD oxidoreductase,True,-999999.0,999999.0,5,
2HBt2,2 hydroxybutyrate cotransport with proton,True,-999999.0,999999.0,4,
2HMHMBQMTm,2 hexaprenyl 3 methyl 5 hydroxy 6 methoxy 1 4 benzoquinone methyltransferase  mitochondrial,False,0.0,999999.0,5,YOL096C and YDR204W and YML110C and YGR255C and YOR125C and YGL119W and YLR201C
2HP6MPMOm,2 Hexaprenyl 6 methoxyphenol monooxygenase  mitochondrial,False,0.0,999999.0,4,YOL096C and YDR204W and YML110C and YGR255C and YOR125C and YGL119W and YLR201C
2HPMBQMTm,2 hexaprenyl 6 methoxy 1 4 benzoquinone methyltransferase  mitochondrial,False,0.0,999999.0,5,YOL096C and YDR204W and YML110C and YGR255C and YOR125C and YGL119W and YLR201C
2HPMMBQMOm,2 hexaprenyl 3 methyl 6 methoxy 1 4 benzoquinone monooxygenase  mitochondrial,False,0.0,999999.0,3,YOL096C and YDR204W and YML110C and YGR255C and YOR125C and YGL119W and YLR201C
2MBACt,2 methylbutyl transport  extracellular,False,0.0,999999.0,2,
EX_epistest_SC_e,Episterol ester  yeast specific exchange,False,0.0,999999.0,1,
EX_epist_e,Episterol exchange,False,0.0,999999.0,1,
2MBALDt,2 Methylbutanal transport  extracellular,True,-999999.0,999999.0,2,
2MBALDtm,2 Methylbutanal transport  mitochondrial,True,-999999.0,999999.0,2,
2MBTOHt,2 methyl 1 butanol transport  extracellular,True,-999999.0,999999.0,2,
ACACT6p,Acetyl CoA C acetyltransferase  dodecanoyl   peroxisomal,False,0.0,999999.0,4,YIL160C
2MBTOHtm,2 methyl 1 butanol transport  mitochondrial,True,-999999.0,999999.0,2,
ACACT7p,Acetyl CoA acyltransferase  tetradecanoyl CoA   peroxisomal,False,0.0,999999.0,4,YIL160C
2MPPALt,2 methylpropanal transport  extracellular,True,-999999.0,999999.0,2,
ACACT8p,Acetyl CoA acyltransferase  hexadecanoyl CoA   peroxisomal,False,0.0,999999.0,4,YIL160C
ACACT9p,Acetyl CoA acyltransferase  tetracosanoyl CoA   peroxisomal,False,0.0,999999.0,4,YIL160C
ACALDCD,Acetaldehyde condensation,False,0.0,999999.0,2,YLR044C or YGR087C or YLR134W
ACALDt,Acetaldehyde reversible transport,True,-999999.0,999999.0,2,
ACALDtm,Acetaldehyde mitochondrial diffusion,True,-999999.0,999999.0,2,
ACCOAC,Acetyl-CoA carboxylase,True,-999999.0,999999.0,7,YNR016C
ACCOACrm,Acetyl Coa carboxylase  mitochondrial,True,-999999.0,999999.0,7,YMR207C
AGAT_SC,1 Acyl glycerol 3 phosphate acyltransferase  yeast specific,False,0.0,999999.0,11,YDL052C or UNKNOWN
AGPRim,N acetyl g glutamyl phosphate reductase  irreversible  mitochondrial,False,0.0,999999.0,6,YER069W
AGTi,Alanine glyoxylate aminotransferase  irreversible,False,0.0,999999.0,4,YFL030W
AHCYStm,S adenosyl L homocysteine reversible transport  mitochondrial,True,-999999.0,999999.0,2,
ACCOAtn,Acetyl CoA transport  nuclear,True,-999999.0,999999.0,2,
2MPPALtm,2 methylpropanal transport  mitochondrial,True,-999999.0,999999.0,2,
ACESt,Acetic ester transport  extracellular,False,0.0,999999.0,2,
ACGAM6PS,N acetylglucosamine 6 phosphate synthase,True,-999999.0,999999.0,5,YFL017C
AHCi,Adenosylhomocysteinase,False,0.0,999999.0,4,YER043C
AHMMPS,4 amino 5 hydroxymethyl 2 methylpyrimidine synthetase,False,0.0,999999.0,5,
AHSERL,O acetylhomoserine  thiol  lyase,False,0.0,999999.0,5,YLR303W
AHSERL2,O acetylhomoserine  thiol  lyase,False,0.0,999999.0,5,YLR303W
ACGAMPM,Phosphoacetylglucosamine mutase,True,-999999.0,999999.0,2,YEL058W
ACGKm,Acetylglutamate kinase  mitochondrial,False,0.0,999999.0,4,YER069W
2OBUTtm,2obut transporter  mitochondrial,True,-999999.0,999999.0,2,
ACGSm,N acteylglutamate synthase  mitochondrial,False,0.0,999999.0,5,YMR062C or YJL071W
2OXOADPtim,2 oxoadipate transport out of mitochondria via diffusion,False,0.0,999999.0,2,
ACHBSm,2 aceto 2 hydroxybutanoate synthase  mitochondrial,False,0.0,999999.0,5,YCL009C and YMR108W
ACHLE1,Isoamyl acetate hydrolyzing esterase,False,0.0,999999.0,5,YOR126C
2PHETOHt,2 phenylethanol reversible transport,True,-999999.0,999999.0,2,
ACHLE2,Isobutyl acetate hydrolyzing esterase,False,0.0,999999.0,5,YOR126C
ACHLE3,Ethyl acetate hydrolyzing esterase,False,0.0,999999.0,5,YOR126C
ACLSm,Acetolactate synthase  mitochondrial,False,0.0,999999.0,4,YCL009C and YMR108W
2PHETOHtm,2 phenylethanol reversible transport  mitochondrial,True,-999999.0,999999.0,2,
ACOAHim,Acetyl CoA hydrolase  mitochondrial  irreversible,False,0.0,999999.0,5,YBL015W
34HPLFM,3  4 hydroxyphenyl  lactate formation,False,0.0,999999.0,5,
ACOAO4p,Acyl CoA oxidase  decanoyl CoA   peroxisomal,False,0.0,999999.0,4,YGL205W
AICART,Phosphoribosylaminoimidazolecarboxamide formyltransferase,True,-999999.0,999999.0,4,YLR028C or YMR120C
AIRCr,Phosphoribosylaminoimidazole carboxylase,True,-999999.0,999999.0,4,YOR128C
AKGDam,Oxoglutarate dehydrogenase  lipoamide,True,-999999.0,999999.0,5,YIL125W and YDR148C and YFL018C
AKGDbm,Oxoglutarate dehydrogenase  dihydrolipoamide S succinyltransferase,False,0.0,999999.0,4,YIL125W and YDR148C and YFL018C
ACOAO5p,Acyl CoA oxidase  dodecanoyl CoA   peroxisomal,False,0.0,999999.0,4,YGL205W
ACOAO6p,Acyl CpA oxidase  tetradecanoyl CoA   peroxisomal,False,0.0,999999.0,4,YGL205W
ACOAO7p,Acyl CoA oxidase  hexadecanoyl CoA   peroxisomal,False,0.0,999999.0,4,YGL205W
ACOAO8p,Acyl CoA oxidase  octadecanoyl CoA   peroxisomal,False,0.0,999999.0,4,YGL205W
ACOAO9p,Acyl CoA oxidase  hexacanoyl CoA   peroxisomal,False,0.0,999999.0,4,YGL205W
AKGMAL,Alpha ketoglutaratemalate transporter,True,-999999.0,999999.0,4,
AKGt2n,2 oxoglutarate nuclear transport via proton symport,True,-999999.0,999999.0,4,
AKGt2r,2 oxoglutarate reversible transport via symport,True,-999999.0,999999.0,4,
34HPPOR,4 Hydroxyphenylpyruvateoxygen oxidoreductase,False,0.0,999999.0,4,
AKGtp,AKG transporter  peroxisome,True,-999999.0,999999.0,2,
AKP1,Alkaline phosphatase  Dihydroneopterin,False,0.0,999999.0,5,YDR481C
ALASm,5 aminolevulinate synthase,False,0.0,999999.0,6,YDR232W
ALATA_L,L-alanine transaminase,True,-999999.0,999999.0,4,YDR111C
